Zip,City,County,Year,Q1_avg_homeprice,Q2_avg_homeprice,Q3_avg_homeprice,Q4_avg_homeprice,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
08232,Pleasantville,Atlantic County,2021,140363.33333333334,146107.0,155398.66666666666,162734.33333333334,143273.0,155610.0,164450.0,140712.0,139615.0,151754.0,149007.0,140763.0,146041.0,162312.0,161441.0,158832.0
07928,Chatham Township,Morris County,2021,929619.0,975384.0,1010951.6666666666,1035003.6666666666,961228.0,1012218.0,1042660.0,929357.0,915712.0,1000736.0,990156.0,943788.0,974768.0,1035352.0,1026999.0,1019901.0
07081,Springfield,Union County,2021,483938.3333333333,496368.3333333333,515106.6666666667,523717.3333333333,489853.0,515754.0,523934.0,483772.0,482502.0,509987.0,503945.0,485541.0,495307.0,524025.0,523193.0,519579.0
07650,Palisades Park,Bergen County,2021,735383.3333333334,753507.6666666666,770709.0,784105.0,748193.0,772317.0,790537.0,735557.0,728328.0,764995.0,759479.0,742265.0,752851.0,782958.0,778820.0,774815.0
08840,Metuchen,Middlesex County,2021,457852.6666666667,479132.3333333333,494387.6666666667,500832.0,471541.0,494018.0,503530.0,457514.0,451613.0,491700.0,485560.0,464431.0,480296.0,501049.0,497917.0,497445.0
07751,Marlboro Township,Monmouth County,2021,611227.0,636545.0,669122.3333333334,690705.6666666666,625844.0,669344.0,695985.0,611583.0,603828.0,660962.0,648218.0,618270.0,635573.0,691583.0,684549.0,677061.0
08361,Vineland,Cumberland County,2021,229761.33333333334,246237.33333333334,265512.0,279028.0,240010.0,265951.0,282689.0,229609.0,225870.0,259441.0,252717.0,233805.0,245985.0,279247.0,275148.0,271144.0
07405,Kinnelon,Morris County,2021,480853.6666666667,500129.3333333333,520590.3333333333,526472.3333333334,492049.0,521120.0,527250.0,480549.0,477019.0,515562.0,508232.0,484993.0,500107.0,526415.0,525752.0,525089.0
08852,Monmouth Junction,Middlesex County,2021,469937.0,488714.0,509039.3333333333,521136.3333333333,480420.0,509182.0,524651.0,469202.0,467499.0,503193.0,495887.0,473110.0,489835.0,520942.0,517816.0,514743.0
08033,Haddonfield,Camden County,2021,528788.6666666666,552331.3333333334,579822.3333333334,604117.6666666666,544771.0,579493.0,608944.0,528826.0,521882.0,569894.0,560260.0,535658.0,551963.0,605538.0,597871.0,590080.0
08830,Colonia,Middlesex County,2021,358301.6666666667,379131.3333333333,391874.6666666667,395560.0,372323.0,391849.0,397614.0,357442.0,353213.0,390133.0,384743.0,364250.0,380328.0,395613.0,393453.0,393642.0
08406,Ventnor City,Atlantic County,2021,324136.0,341350.0,379311.6666666667,402731.6666666667,331379.0,380411.0,407850.0,325007.0,321147.0,366211.0,352538.0,326254.0,340133.0,401693.0,398652.0,391313.0
08008,Long Beach Township,Ocean County,2021,1095546.6666666667,1185111.6666666667,1316981.0,1393943.0,1145961.0,1322247.0,1411804.0,1093776.0,1075261.0,1279813.0,1229064.0,1117603.0,1180310.0,1394294.0,1375731.0,1348883.0
08837,Edison,Middlesex County,2021,375469.3333333333,390227.0,404211.3333333333,409478.0,383589.0,404295.0,412328.0,375364.0,372135.0,401547.0,396125.0,378909.0,390967.0,409121.0,406985.0,406792.0
07067,Colonia,Middlesex County,2021,406695.0,423144.0,434990.0,440203.0,418798.0,435066.0,442052.0,406370.0,401519.0,431763.0,426723.0,412196.0,423911.0,440287.0,438270.0,438141.0
07079,South Orange,Essex County,2021,745975.3333333334,762525.3333333334,805407.3333333334,825051.3333333334,752640.0,807339.0,826858.0,747881.0,740152.0,792094.0,774878.0,749893.0,760058.0,824961.0,823335.0,816789.0
08904,Highland Park,Middlesex County,2021,381698.3333333333,402325.0,419337.0,425267.3333333333,394140.0,419251.0,428258.0,381182.0,378182.0,417010.0,409824.0,385731.0,403011.0,425225.0,422319.0,421750.0
08110,Pennsauken,Camden County,2021,169114.66666666666,177224.33333333334,187908.33333333334,199022.66666666666,174553.0,187630.0,201518.0,169452.0,165688.0,183865.0,179972.0,172204.0,177148.0,199364.0,196186.0,192230.0
08691,Robbinsville Township,Mercer County,2021,434968.0,453761.0,477538.3333333333,494054.3333333333,445655.0,477599.0,498664.0,434343.0,431376.0,470215.0,461223.0,439185.0,454405.0,493303.0,490196.0,484801.0
07646,New Milford,Bergen County,2021,477400.3333333333,487368.6666666667,500462.6666666667,514411.0,483901.0,500992.0,519713.0,477650.0,473405.0,495343.0,491321.0,481146.0,486884.0,514110.0,509410.0,505053.0
07628,Dumont,Bergen County,2021,448599.6666666667,460221.0,473649.0,487748.0,456755.0,474142.0,491876.0,448717.0,443779.0,467833.0,463919.0,453303.0,459989.0,487664.0,483704.0,478972.0
07746,Marlboro Township,Monmouth County,2021,607033.3333333334,633891.6666666666,667383.0,688942.3333333334,622754.0,667868.0,694258.0,606984.0,599835.0,658997.0,645973.0,614281.0,632948.0,689920.0,682649.0,675284.0
07730,Hazlet Township,Monmouth County,2021,423231.3333333333,441825.0,464120.3333333333,477712.3333333333,434493.0,464241.0,479746.0,423660.0,416575.0,458122.0,449542.0,429459.0,441440.0,478479.0,474912.0,469998.0
08203,Brigantine,Atlantic County,2021,399886.0,425897.3333333333,467387.0,491532.6666666667,414098.0,468651.0,497041.0,400744.0,394083.0,453567.0,438743.0,404831.0,424851.0,490753.0,486804.0,479943.0
07480,West Milford,Passaic County,2021,328397.3333333333,342214.6666666667,358980.0,369224.6666666667,337665.0,359478.0,370976.0,328333.0,323491.0,353056.0,347197.0,333368.0,341782.0,369376.0,367322.0,364406.0
07522,Paterson,Passaic County,2021,316271.0,326118.3333333333,345582.3333333333,361793.3333333333,321407.0,345999.0,365567.0,316172.0,313831.0,338698.0,331423.0,318810.0,325525.0,362383.0,357430.0,352050.0
07031,North Arlington,Bergen County,2021,438010.0,449279.3333333333,461785.6666666667,473674.0,446573.0,462725.0,476085.0,437857.0,433020.0,455582.0,452434.0,443153.0,448831.0,473597.0,471340.0,467050.0
07066,Clark,Union County,2021,500869.6666666667,515626.0,536464.3333333334,550798.6666666666,508174.0,536809.0,553947.0,500900.0,498982.0,530583.0,523630.0,502727.0,515074.0,550651.0,547798.0,542001.0
08107,Oaklyn,Camden County,2021,222526.66666666666,231676.66666666666,244281.66666666666,252888.0,228423.0,244501.0,255415.0,222914.0,219157.0,240312.0,235370.0,225509.0,231237.0,252893.0,250356.0,248032.0
08062,Harrison Township,Gloucester County,2021,398684.6666666667,415798.6666666667,440046.6666666667,461736.6666666667,408740.0,440586.0,468068.0,398888.0,393645.0,431687.0,423565.0,403521.0,415091.0,461989.0,455153.0,447867.0
07005,Boonton,Morris County,2021,499197.6666666667,518383.0,539438.3333333334,546316.3333333334,511177.0,540078.0,547347.0,499407.0,493749.0,533791.0,526061.0,504437.0,517911.0,546297.0,545305.0,544446.0
08402,Margate City,Atlantic County,2021,594309.0,623805.6666666666,683736.3333333334,714709.0,608412.0,686466.0,720650.0,595912.0,590148.0,661813.0,641150.0,596867.0,621855.0,712308.0,711169.0,702930.0
07940,Madison,Morris County,2021,732010.3333333334,757701.0,779876.6666666666,792034.0,748899.0,780223.0,794282.0,731314.0,725862.0,772645.0,766196.0,738855.0,758008.0,791764.0,790056.0,786762.0
07882,Washington Township,Warren County,2021,269061.6666666667,284687.6666666667,302391.6666666667,313546.3333333333,279597.0,302867.0,315251.0,268502.0,264132.0,296585.0,289799.0,274551.0,284667.0,314134.0,311254.0,307723.0
07044,Verona,Essex County,2021,541454.0,545408.6666666666,566224.3333333334,584632.6666666666,540854.0,565107.0,588893.0,543274.0,539018.0,560787.0,550612.0,542070.0,544760.0,585710.0,579295.0,572779.0
07102,Newark,Essex County,2021,319903.6666666667,332922.3333333333,350555.6666666667,355846.3333333333,327599.0,350771.0,355326.0,320748.0,315326.0,346459.0,338837.0,323637.0,332331.0,355866.0,356347.0,354437.0
07733,Holmdel Township,Monmouth County,2021,732812.0,761244.6666666666,794563.0,816105.6666666666,749467.0,794403.0,821351.0,733275.0,723904.0,787915.0,774170.0,741257.0,760097.0,817836.0,809130.0,801371.0
