Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1941,3.30 ,2.26 ,2.86 ,2.54 ,2.34 ,4.63 ,7.10 ,3.44 ,0.04 ,1.15 ,3.06 ,3.42 ,36.14 
1942,3.12 ,2.84 ,5.92 ,1.24 ,2.29 ,3.60 ,6.96 ,6.69 ,5.54 ,2.75 ,5.19 ,4.14 ,50.28 
1943,2.65 ,1.61 ,2.89 ,1.70 ,5.43 ,4.14 ,3.28 ,2.52 ,2.41 ,6.46 ,2.50 ,1.12 ,36.71 
1944,4.46 ,2.60 ,5.70 ,5.13 ,2.10 ,3.40 ,0.68 ,2.30 ,12.63 ,1.94 ,6.76 ,2.84 ,50.54 
1945,2.62 ,2.65 ,2.11 ,2.99 ,4.51 ,4.45 ,10.07 ,2.67 ,7.86 ,2.92 ,5.21 ,3.90 ,51.96 
1946,1.48 ,1.34 ,3.37 ,1.00 ,5.44 ,5.06 ,7.70 ,4.33 ,3.35 ,1.40 ,1.49 ,2.42 ,38.38 
1947,2.89 ,2.14 ,2.33 ,4.18 ,6.63 ,3.07 ,6.01 ,2.85 ,2.09 ,2.15 ,7.16 ,3.28 ,44.78 
1948,4.42 ,2.43 ,2.42a,3.25 ,6.63 ,6.68 ,3.84a,7.51 ,1.69 ,1.41 ,3.16 ,6.14 ,49.58 
1949,6.14 ,3.35 ,2.74 ,3.69 ,4.68 ,0.02 ,3.97 ,2.96 ,4.95 ,2.60 ,1.19 ,2.79 ,39.08 
1950,2.37 ,3.82 ,3.53 ,2.19 ,2.64a,2.28 ,6.78 ,4.57 ,1.76 ,1.42 ,5.10 ,3.42 ,39.88 
1951,3.02 ,4.16 ,4.75 ,3.21 ,4.02 ,3.62 ,4.26 ,2.98 ,0.87 ,4.99 ,6.67 ,4.71 ,47.26 
1952,4.81 ,2.18b,3.82 ,5.84 ,5.87 ,4.65 ,4.90 ,7.35 ,3.36 ,0.63 ,3.58 ,2.74 ,49.73 
1953,5.31 ,2.26 ,7.84 ,5.46 ,4.64 ,3.25 ,2.96 ,2.86 ,1.09 ,3.88 ,1.98 ,4.24 ,45.77 
1954,1.91 ,1.88 ,3.54 ,3.64 ,3.67 ,1.64 ,1.11 ,7.74 ,5.66 ,2.83 ,5.46 ,3.32 ,42.40 
1955,0.71 ,2.52 ,4.68 ,2.45 ,1.84 ,2.63 ,1.43 ,13.77 ,1.83 ,6.80 ,2.21 ,0.17 ,41.04 
1956,2.22 ,5.09 ,3.31 ,3.23 ,2.84 ,3.15 ,3.93 ,4.67 ,3.19 ,3.50 ,4.33 ,4.12 ,43.58 
1957,2.02 ,2.51 ,2.98 ,5.66 ,0.96 ,2.19 ,1.31 ,3.66 ,2.32 ,2.03 ,3.92 ,5.44a,35.00 
1958,5.46 ,4.10 ,4.53 ,5.97 ,4.09 ,2.99 ,5.86 ,3.27 ,3.28 ,6.26 ,2.33 ,1.67a,49.81 
1959,2.36 ,1.82 ,3.46 ,2.53 ,1.26 ,3.60 ,7.32 ,5.92 ,0.78 ,3.33 ,4.28 ,4.66 ,41.32 
1960,3.58 ,4.65 ,1.65 ,3.67 ,4.25 ,1.17 ,11.10 ,3.92 ,7.84 ,1.84 ,3.33 ,2.41 ,49.41 
1961,2.86 ,2.83 ,5.95 ,3.99b,3.46 ,3.10 ,5.58 ,6.32 ,2.60 ,2.81 ,2.26 ,3.77 ,45.53 
1962,2.71 ,4.13 ,3.19 ,3.92 ,2.06 ,3.66a,2.65 ,4.11 ,4.46 ,2.39 ,4.62 ,2.11 ,40.01 
1963,2.18 ,1.38 ,4.01a,0.65 ,1.83 ,1.10a,3.64 ,1.57 ,6.09 ,0.25 ,8.33 ,1.92 ,32.95 
1964,3.91 ,3.06 ,1.95 ,4.49 ,1.34 ,2.37 ,7.37 ,0.82 ,2.86 ,2.20 ,2.04 ,5.07 ,37.48 
1965,3.04 ,2.30 ,3.25 ,2.77 ,1.22 ,0.89 ,2.40 ,2.98 ,3.09 ,1.81 ,1.58 ,2.18 ,27.51 
1966,2.96 ,3.93 ,1.84 ,3.16 ,5.94 ,0.58 ,1.22 ,2.92 ,10.96 ,5.09 ,2.80 ,3.77 ,45.17 
1967,1.70 ,2.20 ,5.64 ,2.19 ,5.41 ,3.28 ,7.11 ,9.00 ,2.17 ,2.53 ,2.29 ,5.54 ,49.06 
1968,3.78 ,0.95 ,4.44 ,1.64 ,9.18 ,4.50 ,0.85 ,7.07 ,2.32 ,1.99 ,5.77 ,3.66 ,46.15 
1969,1.56 ,2.66 ,2.79 ,3.75 ,2.78 ,3.03 ,8.26 ,3.86 ,6.17 ,1.93 ,2.59 ,5.80 ,45.18 
1970,0.90 ,2.54 ,4.10 ,5.23 ,2.12 ,4.28 ,3.48 ,3.00 ,3.71 ,2.86 ,5.89 ,2.81 ,40.92 
1971,2.70 ,5.01 ,3.14 ,2.63 ,3.77 ,0.88 ,6.05 ,13.36 ,3.91 ,3.70 ,5.35 ,1.46 ,51.96 
