zipcode,State,CITY,CountyName,SizeRank,eom_date,month,year,avghomeprice_month,price_drop
07920,NJ,Bridgewater Township,Somerset County,4533,2001-05-31,5,2001,422691, 
08836,NJ,Bridgewater Township,Somerset County,15436,2001-05-31,5,2001,428193, 
08901,NJ,New Brunswick,Middlesex County,2082,2001-06-30,6,2001,148267, 
08807,NJ,Bridgewater Township,Somerset County,2481,2001-06-30,6,2001,315817, 
07920,NJ,Bridgewater Township,Somerset County,4533,2001-06-30,6,2001,426608, 
08836,NJ,Bridgewater Township,Somerset County,15436,2001-06-30,6,2001,431441, 
08901,NJ,New Brunswick,Middlesex County,2082,2001-07-31,7,2001,149471, 
08807,NJ,Bridgewater Township,Somerset County,2481,2001-07-31,7,2001,319157, 
07920,NJ,Bridgewater Township,Somerset County,4533,2001-07-31,7,2001,430017, 
08836,NJ,Bridgewater Township,Somerset County,15436,2001-07-31,7,2001,434890, 
08901,NJ,New Brunswick,Middlesex County,2082,2001-08-31,8,2001,151622, 
08807,NJ,Bridgewater Township,Somerset County,2481,2001-08-31,8,2001,322819, 
07920,NJ,Bridgewater Township,Somerset County,4533,2001-08-31,8,2001,433377, 
08836,NJ,Bridgewater Township,Somerset County,15436,2001-08-31,8,2001,439822, 
08901,NJ,New Brunswick,Middlesex County,2082,2001-09-30,9,2001,153059, 
08807,NJ,Bridgewater Township,Somerset County,2481,2001-09-30,9,2001,326566, 
07920,NJ,Bridgewater Township,Somerset County,4533,2001-09-30,9,2001,436713, 
08836,NJ,Bridgewater Township,Somerset County,15436,2001-09-30,9,2001,444907, 
08901,NJ,New Brunswick,Middlesex County,2082,2001-10-31,10,2001,154739, 
08807,NJ,Bridgewater Township,Somerset County,2481,2001-10-31,10,2001,330287, 
07920,NJ,Bridgewater Township,Somerset County,4533,2001-10-31,10,2001,440080, 
08836,NJ,Bridgewater Township,Somerset County,15436,2001-10-31,10,2001,449859, 
08901,NJ,New Brunswick,Middlesex County,2082,2001-11-30,11,2001,155810, 
